TEM,DTT,D15
33.5,0.703,0.7198
33.5,0.705,0.7218
33.5,0.707,0.7238
33.5,0.709,0.7258
33.5,0.711,0.7277
33.5,0.713,0.7297
33.5,0.715,0.7317
33.5,0.717,0.7337
33.5,0.719,0.7356
33.5,0.721,0.7376
33.5,0.723,0.7396
33.5,0.725,0.7416
33.5,0.727,0.7435
33.5,0.729,0.7455
33.5,0.731,0.7475
33.5,0.733,0.7495
33.5,0.735,0.7514
33.5,0.737,0.7534
33.5,0.739,0.7554
33.5,0.741,0.7574
33.5,0.743,0.7593
33.5,0.745,0.7613
33.5,0.747,0.7633
33.5,0.749,0.7653
33.5,0.751,0.7673
33.5,0.753,0.7692
33.5,0.755,0.7711
33.5,0.757,0.7728
33.5,0.759,0.7746
33.5,0.761,0.7763
33.5,0.763,0.7781
33.5,0.765,0.7798
33.5,0.767,0.7816
33.5,0.769,0.7833
33.5,0.771,0.7851
33.5,0.773,0.7868
33.5,0.775,0.7887
33.5,0.777,0.7906
33.5,0.779,0.7926
33.5,0.781,0.7946
33.5,0.783,0.7965
33.5,0.785,0.7985
33.5,0.787,0.8005
33.5,0.789,0.8024
33.5,0.791,0.8044
33.5,0.793,0.8064
33.5,0.795,0.8083
33.5,0.797,0.8103
33.5,0.799,0.8123
33.5,0.801,0.8142
33.5,0.803,0.8162
33.5,0.805,0.8182
33.5,0.807,0.8201
33.5,0.809,0.8221
33.5,0.811,0.8241
33.5,0.813,0.826
33.75,0.701,0.7181
33.75,0.703,0.7201
33.75,0.705,0.722
33.75,0.707,0.724
33.75,0.709,0.726
33.75,0.711,0.728
33.75,0.713,0.7299
33.75,0.715,0.7319
33.75,0.717,0.7339
33.75,0.719,0.7358
33.75,0.721,0.7378
33.75,0.723,0.7398
33.75,0.725,0.7418
33.75,0.727,0.7438
33.75,0.729,0.7457
33.75,0.731,0.7477
33.75,0.733,0.7497
33.75,0.735,0.7517
33.75,0.737,0.7536
33.75,0.739,0.7556
33.75,0.741,0.7576
33.75,0.743,0.7596
33.75,0.745,0.7615
33.75,0.747,0.7635
33.75,0.749,0.7655
33.75,0.751,0.7675
33.75,0.753,0.7694
33.75,0.755,0.7713
33.75,0.757,0.773
33.75,0.759,0.7748
33.75,0.761,0.7765
33.75,0.763,0.7783
33.75,0.765,0.78
33.75,0.767,0.7817
33.75,0.769,0.7835
33.75,0.771,0.7852
33.75,0.773,0.787
33.75,0.775,0.7889
33.75,0.777,0.7908
33.75,0.779,0.7928
33.75,0.781,0.7948
33.75,0.783,0.7967
33.75,0.785,0.7987
33.75,0.787,0.8007
33.75,0.789,0.8026
33.75,0.791,0.8046
33.75,0.793,0.8065
33.75,0.795,0.8085
33.75,0.797,0.8105
33.75,0.799,0.8124
33.75,0.801,0.8144
33.75,0.803,0.8164
33.75,0.805,0.8183
33.75,0.807,0.8203
33.75,0.809,0.8223
33.75,0.811,0.8242
33.75,0.813,0.8262
34,0.701,0.7183
34,0.703,0.7203
34,0.705,0.7223
34,0.707,0.7242
34,0.709,0.7262
34,0.711,0.7282
34,0.713,0.7302
34,0.715,0.7321
34,0.717,0.7341
34,0.719,0.7361
34,0.721,0.7381
34,0.723,0.74
34,0.725,0.742
34,0.727,0.744
34,0.729,0.746
34,0.731,0.7479
34,0.733,0.7499
34,0.735,0.7519
34,0.737,0.7538
34,0.739,0.7558
34,0.741,0.7578
34,0.743,0.7598
34,0.745,0.7618
34,0.747,0.7637
34,0.749,0.7657
34,0.751,0.7677
34,0.753,0.7697
34,0.755,0.7715
34,0.757,0.7732
34,0.759,0.775
34,0.761,0.7767
34,0.763,0.7784
34,0.765,0.7802
34,0.767,0.7819
34,0.769,0.7836
34,0.771,0.7854
34,0.773,0.7871
34,0.775,0.7891
34,0.777,0.791
34,0.779,0.793
34,0.781,0.7949
34,0.783,0.7969
34,0.785,0.7989
34,0.787,0.8008
34,0.789,0.8028
34,0.791,0.8048
34,0.793,0.8067
34,0.795,0.8087
34,0.797,0.8107
34,0.799,0.8126
34,0.801,0.8146
34,0.803,0.8165
34,0.805,0.8185
34,0.807,0.8205
34,0.809,0.8224
34,0.811,0.8244
34,0.813,0.8264
34.25,0.701,0.7185
34.25,0.703,0.7205
34.25,0.705,0.7225
34.25,0.707,0.7245
34.25,0.709,0.7264
34.25,0.711,0.7284
34.25,0.713,0.7304
34.25,0.715,0.7324
34.25,0.717,0.7343
34.25,0.719,0.7363
34.25,0.721,0.7383
34.25,0.723,0.7402
34.25,0.725,0.7422
34.25,0.727,0.7442
34.25,0.729,0.7462
