d15,wcf
0.5,0.4989
0.501,0.4999
0.502,0.5009
0.503,0.5019
0.504,0.5029
0.505,0.5039
0.506,0.5049
0.507,0.5059
0.508,0.5069
0.509,0.5079
0.51,0.5089
0.511,0.5099
0.512,0.5109
0.513,0.5119
0.514,0.5129
0.515,0.5139
0.516,0.5149
0.517,0.5159
0.518,0.5169
0.519,0.5179
0.52,0.5189
0.521,0.5199
0.522,0.5209
0.523,0.5219
0.524,0.5229
0.525,0.5239
0.526,0.5249
0.527,0.5259
0.528,0.5269
0.529,0.5279
0.53,0.5289
0.531,0.5299
0.532,0.5309
0.533,0.5319
0.534,0.5329
0.535,0.5339
0.536,0.5349
0.537,0.5359
0.538,0.5369
0.539,0.5379
0.54,0.5389
0.541,0.5399
0.542,0.5409
0.543,0.5419
0.544,0.5429
0.545,0.5439
0.546,0.5449
0.547,0.5459
0.548,0.5469
0.549,0.5479
0.55,0.5489
0.551,0.5499
0.552,0.5509
0.553,0.5519
0.554,0.5529
0.555,0.5539
0.556,0.5549
0.557,0.5559
0.558,0.5569
0.559,0.5579
0.56,0.5589
0.561,0.5599
0.562,0.5609
0.563,0.5619
0.564,0.5629
0.565,0.5639
0.566,0.5649
0.567,0.5659
0.568,0.5669
0.569,0.5679
0.57,0.5689
0.571,0.5699
0.572,0.5709
0.573,0.5719
0.574,0.5729
0.575,0.5739
0.576,0.5749
0.577,0.5759
0.578,0.5769
0.579,0.5779
0.58,0.5789
0.581,0.5799
0.582,0.5809
0.583,0.5819
0.584,0.5829
0.585,0.5839
0.586,0.5849
0.587,0.5859
0.588,0.5869
0.589,0.5879
0.59,0.5889
0.591,0.5899
0.592,0.5909
0.593,0.5919
0.594,0.5929
0.595,0.5939
0.596,0.5949
0.597,0.5959
0.598,0.5969
0.599,0.5979
0.6,0.5989
0.601,0.5999
0.602,0.6009
0.603,0.6019
0.604,0.6029
0.605,0.6039
0.606,0.6049
0.607,0.6059
0.608,0.6069
0.609,0.6079
0.61,0.6089
0.611,0.6099
0.612,0.6109
0.613,0.6119
0.614,0.6129
0.615,0.6139
0.616,0.6149
0.617,0.6159
0.618,0.6169
0.619,0.6179
0.62,0.6189
0.621,0.6199
0.622,0.6209
0.623,0.6219
0.624,0.6129
0.625,0.6239
0.626,0.6249
0.627,0.6259
0.628,0.6269
0.629,0.6279
0.63,0.6289
0.631,0.6299
0.632,0.6309
0.633,0.6319
0.634,0.6329
0.635,0.6339
0.636,0.6349
0.637,0.6359
0.638,0.6369
0.639,0.6379
0.64,0.6289
0.641,0.6399
0.642,0.6409
0.643,0.6419
0.644,0.6429
0.645,0.6439
0.646,0.6449
0.647,0.6459
0.648,0.6469
0.649,0.6479
0.65,0.6489
0.651,0.6499
0.652,0.6509
0.653,0.6519
0.654,0.6529
0.655,0.6539
0.656,0.6549
0.657,0.6559
0.658,0.6569
0.659,0.6579
0.66,0.6589
0.661,0.6599
0.662,0.6609
0.663,0.6619
0.664,0.6629
0.665,0.6639
0.666,0.6649
0.667,0.6659
0.668,0.6669
0.669,0.6679
0.67,0.6689
0.671,0.6699
0.672,0.6709
0.673,0.6719
0.674,0.6729
0.675,0.6739
0.676,0.6749
0.677,0.6759
0.678,0.6769
0.679,0.6779
0.68,0.6789
0.681,0.6799
0.682,0.6809
0.683,0.6819
0.684,0.6829
0.685,0.6839
0.686,0.6849
0.687,0.6859
0.688,0.6869
0.689,0.6879
0.69,0.6889
0.691,0.6899
0.692,0.6909
0.693,0.6919
0.694,0.6929
0.695,0.6939
0.696,0.6949
0.697,0.6959
0.698,0.6969
0.699,0.6979
0.7,0.6989
0.701,0.6999
0.702,0.7009
0.703,0.7019
0.704,0.7029
0.705,0.7039
0.706,0.7049
0.707,0.7059
0.708,0.7069
0.709,0.7079
0.71,0.7089
0.711,0.7099
0.712,0.7109
0.713,0.7119
0.714,0.7129
0.715,0.7139
0.716,0.7149
0.717,0.7159
0.718,0.7169
0.719,0.7179
0.72,0.7189
0.721,0.7199
0.722,0.7209
0.723,0.7219
0.724,0.7229
0.725,0.7239
0.726,0.7249
0.727,0.7259
0.728,0.7269
0.729,0.7279
0.73,0.7289
0.731,0.7299
0.732,0.7309
0.733,0.7319
0.734,0.7329
0.735,0.7339
0.736,0.7349
0.737,0.7359
0.738,0.7369
0.739,0.7379
0.74,0.7389
0.741,0.7399
0.742,0.7409
0.743,0.7419
0.744,0.7429
0.745,0.7439
0.746,0.7449
0.747,0.7459
0.748,0.7469
0.749,0.7479
0.75,0.7489
0.751,0.7499
0.752,0.7509
0.753,0.7519
0.754,0.7529
0.755,0.7539
0.756,0.7549
0.757,0.7559
0.758,0.7569
0.759,0.7579
0.76,0.7589
0.761,0.7599
0.762,0.7609
0.763,0.7619
